n,time,threads
3686400,13.917589,4
3686400,8.080879,8
3686400,5.355393,12
3686400,4.155174,16
3686400,3.426991,20
3686400,3.023432,24
3686400,2.909490,28
3686400,3.921189,32
3686400,12.087249,5
3686400,13.564578,10
3686400,4.887897,15
3686400,4.283406,20
3686400,3.671048,25
3686400,2.703437,30
3686400,2.679281,35
3686400,3.376392,40
3686400,12.766827,6
3686400,6.342368,12
3686400,2.472333,18
3686400,2.891962,24
3686400,3.866133,30
3686400,2.471226,36
3686400,3.171902,42
3686400,2.047300,48
3686400,10.552008,7
3686400,5.688418,14
3686400,2.465228,21
3686400,2.598793,28
3686400,3.275683,35
3686400,2.284788,42
3686400,2.728071,49
3686400,4.027129,56
3686400,8.466535,8
3686400,5.968363,16
3686400,2.180491,24
3686400,2.230449,32
3686400,3.489229,40
3686400,2.048199,48
3686400,2.137307,56
3686400,2.954527,64
3686400,30.808007,1
3686400,16.849234,2
3686400,20.686983,3
3686400,15.083111,4
3686400,11.851652,5
3686400,10.681764,6
3686400,8.734675,7
3686400,7.365684,8
3686400,16.152453,2
3686400,15.610285,4
3686400,10.575952,6
3686400,7.799691,8
3686400,6.485392,10
3686400,5.290005,12
3686400,4.471104,14
3686400,4.064216,16
3686400,21.871146,3
3686400,10.886838,6
3686400,6.986683,9
3686400,5.301117,12
3686400,4.265668,15
3686400,3.542881,18
3686400,3.057188,21
3686400,2.779067,24
3686400,14.597550,4
3686400,8.024807,8
3686400,5.354365,12
3686400,4.269402,16
3686400,4.080701,20
3686400,4.632793,24
3686400,2.993505,28
3686400,2.832571,32
3686400,11.984663,5
3686400,6.488817,10
3686400,4.486499,15
3686400,4.343907,20
3686400,2.717882,25
3686400,2.924433,30
3686400,5.875173,35
3686400,3.519279,40
3686400,11.828416,6
3686400,6.330811,12
3686400,3.030887,18
3686400,2.655067,24
3686400,2.664347,30
3686400,2.351751,36
3686400,5.538324,42
3686400,3.841061,48
3686400,10.363752,7
3686400,5.913054,14
3686400,3.359360,21
3686400,2.568116,28
3686400,3.130417,35
3686400,1.946544,42
3686400,5.436152,49
3686400,4.709079,56
3686400,9.425063,8
3686400,5.070835,16
3686400,2.727839,24
3686400,3.068159,32
3686400,2.353206,40
3686400,3.416265,48
3686400,3.168225,56
3686400,3.003171,64
3686400,32.236227,1
3686400,17.883616,2
3686400,20.946190,3
3686400,14.763063,4
3686400,11.879443,5
3686400,10.489653,6
3686400,8.930174,7
3686400,7.720713,8
3686400,17.284411,2
3686400,16.095800,4
3686400,10.801926,6
3686400,7.709058,8
3686400,6.071637,10
3686400,5.147107,12
3686400,4.549257,14
3686400,4.215334,16
3686400,20.255146,3
3686400,10.850568,6
3686400,7.103229,9
3686400,5.268869,12
3686400,4.609505,15
3686400,4.240342,18
3686400,4.086721,21
3686400,2.706477,24
3686400,15.197189,4
3686400,8.046498,8
3686400,5.268254,12
3686400,4.230138,16
3686400,4.048828,20
3686400,3.912285,24
3686400,3.170042,28
3686400,2.753098,32
3686400,12.220167,5
3686400,6.456382,10
3686400,4.582204,15
3686400,4.310546,20
3686400,3.537689,25
3686400,2.648144,30
3686400,2.673225,35
3686400,4.933932,40
3686400,12.326986,6
3686400,6.584880,12
3686400,2.462049,18
3686400,2.754008,24
3686400,2.225955,30
3686400,2.170138,36
3686400,4.861084,42
3686400,1.922030,48
3686400,10.483769,7
3686400,5.811822,14
3686400,2.894385,21
3686400,2.516525,28
3686400,5.164440,35
3686400,2.176381,42
3686400,2.132772,49
3686400,2.137865,56
3686400,9.340837,8
3686400,5.027367,16
3686400,2.531081,24
3686400,2.335498,32
3686400,5.033616,40
3686400,8.402308,48
3686400,3.374961,56
3686400,2.953469,64
3686400,32.193130,1
3686400,17.875655,2
3686400,20.584929,3
3686400,14.920730,4
3686400,12.245834,5
3686400,9.969838,6
3686400,8.659558,7
3686400,7.596065,8
3686400,16.829639,2
3686400,15.705764,4
3686400,10.870263,6
3686400,7.610477,8
3686400,6.193868,10
3686400,5.122213,12
3686400,4.477094,14
3686400,3.937878,16
3686400,20.411556,3
3686400,11.156307,6
3686400,7.038818,9
3686400,5.397720,12
3686400,4.382144,15
3686400,3.661117,18
3686400,3.221076,21
3686400,2.925319,24
3686400,15.141802,4
3686400,8.145438,8
3686400,5.629423,12
3686400,4.230868,16
3686400,3.276833,20
3686400,2.943855,24
3686400,2.438699,28
3686400,2.838485,32
3686400,11.871268,5
3686400,6.583624,10
3686400,4.620254,15
3686400,3.785834,20
3686400,2.953456,25
3686400,3.111193,30
3686400,3.932941,35
3686400,2.954325,40
3686400,11.003258,6
3686400,8.510282,12
3686400,2.799072,18
3686400,2.559894,24
3686400,3.397310,30
3686400,2.446292,36
3686400,2.253937,42
3686400,3.657086,48
3686400,10.085273,7
3686400,5.984969,14
3686400,2.648752,21
3686400,2.454259,28
3686400,2.420581,35
3686400,2.325149,42
3686400,3.161315,49
3686400,3.078875,56
3686400,8.706213,8
3686400,5.400185,16
3686400,3.460333,24
3686400,2.466461,32
3686400,3.601595,40
3686400,3.308178,48
3686400,3.174046,56
3686400,3.604162,64
