n,time,threads
520,0.331127,4
540,0.352419,4
560,0.329722,4
580,0.428385,4
600,0.490281,4
620,0.530441,4
640,0.541797,4
660,0.680893,4
680,0.569047,4
700,0.641127,4
720,0.719013,4
740,0.900750,4
760,0.819342,4
780,0.837130,4
800,0.829845,4
820,1.053967,4
840,1.180137,4
860,1.116605,4
880,1.186850,4
900,1.443835,4
920,1.281680,4
940,1.346914,4
960,1.504133,4
980,1.664385,4
1000,1.776482,4
1050,1.941763,4
1100,2.256139,4
1150,2.468338,4
1200,2.778141,4
1250,2.867290,4
1300,3.204267,4
1350,3.607804,4
1400,4.254224,4
1450,4.513196,4
1500,5.064177,4
1550,5.662596,4
1600,6.314612,4
1650,6.275615,4
1700,6.952913,4
1750,7.476034,4
1800,8.980579,4
1850,9.329528,4
1900,10.328947,4
1950,10.911548,4
2000,12.065701,4
2100,13.493839,4
2200,15.920761,4
2300,19.740546,4
2400,25.137225,4
2500,28.840758,4
2600,33.460692,4
2700,36.683815,4
2800,44.480864,4
2900,50.068130,4
3000,57.793320,4
3200,73.292771,4
3400,85.003517,4
3600,105.749300,4
3800,120.432904,4
4000,142.566629,4
4200,162.824258,4
4400,188.309620,4
4600,216.582176,4
4800,247.138633,4
5000,278.146222,4
20,0.000822,2
30,0.001176,2
40,0.001619,2
50,0.001782,2
60,0.002284,2
70,0.003194,2
80,0.003923,2
90,0.004386,2
100,0.007704,2
110,0.010093,2
120,0.014881,2
130,0.016278,2
140,0.021395,2
150,0.011382,2
160,0.036340,2
170,0.037087,2
180,0.050014,2
190,0.044126,2
200,0.050658,2
210,0.051224,2
220,0.051656,2
230,0.061507,2
240,0.058466,2
250,0.073389,2
260,0.066226,2
270,0.085901,2
280,0.077514,2
290,0.084121,2
300,0.095025,2
310,0.093716,2
320,0.100393,2
330,0.107904,2
340,0.114736,2
350,0.129359,2
360,0.152028,2
370,0.171500,2
380,0.187124,2
390,0.196455,2
400,0.212963,2
410,0.224675,2
420,0.253600,2
430,0.225185,2
440,0.237410,2
450,0.286250,2
460,0.300026,2
470,0.316464,2
480,0.336951,2
490,0.342309,2
500,0.351380,2
520,0.459115,2
540,0.460063,2
560,0.510592,2
580,0.553599,2
600,0.613576,2
620,0.670618,2
640,0.730158,2
660,0.804097,2
680,0.866851,2
700,0.937564,2
720,1.003970,2
740,1.156087,2
760,1.174292,2
780,1.271140,2
800,1.364533,2
820,1.454066,2
840,1.561883,2
860,1.672505,2
880,1.782379,2
900,1.904167,2
920,2.026949,2
940,2.158394,2
960,2.296668,2
980,2.480102,2
1000,2.590661,2
1050,3.018036,2
1100,3.497959,2
1150,3.999154,2
1200,4.534962,2
1250,5.236494,2
1300,5.935852,2
1350,6.906086,2
1400,7.993435,2
1450,9.577846,2
1500,11.671699,2
1550,13.260853,2
1600,15.795929,2
1650,17.629301,2
1700,19.535155,2
1750,21.658250,2
1800,24.197038,2
1850,27.008826,2
1900,30.218983,2
1950,32.595932,2
2000,36.321305,2
2100,39.718681,2
2200,45.263811,2
2300,51.484982,2
2400,60.761848,2
2500,68.450115,2
2600,74.979946,2
2700,83.656148,2
2800,94.862821,2
2900,104.806152,2
3000,113.749646,2
3200,139.445282,2
3400,157.890493,2
3600,189.312383,2
3800,209.588408,2
4000,251.422983,2
4200,283.144529,2
4400,336.838439,2
4600,384.645704,2
4800,438.312618,2
5000,490.327646,2
20,0.000062,1
30,0.000157,1
40,0.000341,1
50,0.000396,1
60,0.000589,1
70,0.001026,1
80,0.001586,1
90,0.002075,1
100,0.002845,1
110,0.003677,1
120,0.004600,1
130,0.005938,1
140,0.007322,1
150,0.008855,1
160,0.010864,1
170,0.012992,1
180,0.015289,1
190,0.017988,1
200,0.022216,1
210,0.027596,1
220,0.027973,1
230,0.031817,1
240,0.036256,1
250,0.040913,1
260,0.045673,1
270,0.049499,1
280,0.056953,1
290,0.063263,1
300,0.069898,1
310,0.078757,1
320,0.088915,1
330,0.091889,1
340,0.096308,1
350,0.111428,1
360,0.123018,1
370,0.135399,1
380,0.141267,1
390,0.150470,1
400,0.165076,1
410,0.175383,1
420,0.195014,1
430,0.205532,1
440,0.223081,1
450,0.234423,1
460,0.251926,1
470,0.270637,1
480,0.286836,1
490,0.304342,1
500,0.321089,1
520,0.363546,1
540,0.400794,1
560,0.450132,1
580,0.498948,1
600,0.558330,1
620,0.604351,1
640,0.672895,1
660,0.731665,1
680,0.797206,1
700,0.875910,1
720,0.942041,1
740,1.023220,1
760,1.106881,1
780,1.205816,1
800,1.289076,1
820,1.393102,1
840,1.513897,1
860,1.620703,1
880,1.730350,1
900,1.840249,1
920,1.967194,1
940,2.107655,1
960,2.251631,1
980,2.394071,1
1000,2.525128,1
1050,2.827351,1
1100,3.248813,1
1150,3.726899,1
1200,4.282710,1
1250,4.882131,1
1300,5.727255,1
1350,6.566839,1
1400,7.337679,1
1450,8.481769,1
1500,9.755808,1
1550,11.170938,1
1600,12.825516,1
1650,14.654702,1
1700,17.066814,1
1750,19.670396,1
1800,22.104506,1
1850,24.784156,1
1900,27.474528,1
1950,30.834493,1
2000,33.809316,1
2100,37.060924,1
2200,42.266323,1
2300,48.368373,1
2400,56.994106,1
2500,64.724666,1
2600,70.877789,1
2700,78.264923,1
2800,88.682611,1
2900,97.928605,1
3000,104.999990,1
3200,133.283675,1
3400,149.604235,1
